Qdot545in,
Wavelength,Intensity
380,0.336897218
385,0.323640844
390,0.311784031
395,0.295841177
400,0.274617481
405,0.250639356
410,0.228891224
415,0.21353209
420,0.20376846
425,0.196052411
430,0.185736983
435,0.171659297
440,0.154138575
445,0.135035425
450,0.11865022
455,0.109716567
460,0.108722419
465,0.108959556
470,0.10231974
475,0.08744856
480,0.068514141
485,0.050537387
490,0.036988698
495,0.029518905
500,0.029103917
505,0.036240806
510,0.050696998
515,0.069403402
520,0.084931267
525,0.090777588
530,0.086741711
535,0.076389801
540,0.061126434
545,0.042839579
550,0.026308445
555,0.013817748
560,0.006493886
565,0.00262218
570,0.001080794
575,0.000456031
580,0.000200654
585,0.000114008
590,8.21E-05
595,4.10E-05
600,1.37E-05
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
