Qdot545in,
Wavelength,Excitation
300,1
301,0.977411402
302,0.956347773
303,0.936999734
304,0.9186048
305,0.900295645
306,0.882100863
307,0.864944966
308,0.847407827
309,0.829003362
310,0.81080858
311,0.792985509
312,0.77725927
313,0.761151789
314,0.745616171
315,0.730175864
316,0.717308941
317,0.702821739
318,0.689859506
319,0.676506499
320,0.664602213
321,0.652593085
322,0.642108926
323,0.631052903
324,0.621426539
325,0.611695333
326,0.603603468
327,0.57910866
328,0.580824249
329,0.576821207
330,0.569577606
331,0.561857452
332,0.556996614
333,0.550515498
334,0.544320313
335,0.537743886
336,0.532692427
337,0.526687863
338,0.522970752
339,0.517728672
340,0.513058456
341,0.508006997
342,0.504671129
343,0.500954018
344,0.497427528
345,0.493329174
346,0.489230821
347,0.485227779
348,0.480938804
349,0.47655452
350,0.471121819
351,0.466830108
352,0.462114745
353,0.457198728
354,0.452077496
355,0.446842257
356,0.441511251
357,0.436371779
358,0.430744353
359,0.425285658
360,0.419922274
361,0.414509639
362,0.409119349
363,0.403843067
364,0.398730956
365,0.393609725
366,0.38873475
367,0.384142515
368,0.379554841
369,0.375190621
370,0.37094041
371,0.36700486
372,0.363114913
373,0.359498585
374,0.355859455
375,0.35243466
376,0.349110192
377,0.345854128
378,0.342775917
379,0.339720508
380,0.336897218
381,0.334006436
382,0.331174481
383,0.328265002
384,0.327165966
385,0.323640844
386,0.321342447
387,0.31890724
388,0.316690928
389,0.314182756
390,0.311784031
391,0.308920154
392,0.306097321
393,0.302950705
394,0.29953047
395,0.295841177
396,0.292046997
397,0.28800656
398,0.283760908
399,0.279300922
400,0.274617481
401,0.269952281
402,0.265063626
403,0.260389305
404,0.255286315
405,0.250639356
406,0.245778062
407,0.241422964
408,0.236921935
409,0.232940782
410,0.228891224
411,0.225320499
412,0.222000591
413,0.21892694
414,0.216104107
415,0.21353209
416,0.211288416
417,0.209149629
418,0.207284461
419,0.205455776
420,0.20376846
421,0.20216323
422,0.200617284
423,0.199363198
424,0.197748847
425,0.196052411
426,0.194200924
427,0.192285592
428,0.19036114
429,0.188117466
430,0.185736983
431,0.183269854
432,0.180611191
433,0.177779237
434,0.174728388
435,0.171659297
436,0.168362191
437,0.165005801
438,0.161457877
439,0.157873471
440,0.154138575
441,0.150358076
442,0.146554775
443,0.142728672
444,0.138856967
445,0.135035425
446,0.131414536
447,0.127889414
448,0.124537584
449,0.121427451
450,0.11865022
451,0.116119247
452,0.113998701
453,0.112206498
454,0.110728957
455,0.109716567
456,0.108973236
457,0.108640334
458,0.108471602
459,0.108576489
460,0.108722419
461,0.108991478
462,0.109233174
463,0.10931982
464,0.109287898
465,0.108959556
466,0.108394077
467,0.107491135
468,0.106186885
469,0.104522371
470,0.10231974
471,0.099980299
472,0.097253232
473,0.094257107
474,0.090918958
475,0.08744856
476,0.083782068
477,0.080047172
478,0.076211949
479,0.072267278
480,0.068514141
481,0.064751883
482,0.061007866
483,0.057405218
484,0.053898338
485,0.050537387
486,0.047404452
487,0.044513214
488,0.041722302
489,0.039255173
490,0.036988698
491,0.034995841
492,0.033267482
493,0.031707855
494,0.030508493
495,0.029518905
