Qdot545out,
Wavelength,Intensity
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
460,0
465,0
470,0
475,0
480,0.002348768
485,0.001556177
490,0.00120311
495,0.001552217
500,0.003155825
505,0.008682185
510,0.025271305
515,0.065982043
520,0.151805902
525,0.301108549
530,0.531514286
535,0.785829443
540,0.967383953
545,0.987774583
550,0.858275354
555,0.639610614
560,0.418350586
565,0.249475713
570,0.13848803
575,0.073548449
580,0.037133776
585,0.018513317
590,0.009088291
595,0.004483534
600,0.002280378
605,0.001070134
610,0.000535401
615,0.000273321
620,3.13503E-05
625,3.08519E-05
630,3.90071E-05
635,-9.71841E-06
640,5.5708E-05
645,9.03478E-05
650,0.000141379
655,0.000234562
660,0.000166933
665,3.71701E-05
670,0.000109981
675,9.76215E-06
680,2.93717E-05
685,-3.15109E-05
690,1.1887E-05
695,-7.29637E-05
700,6.7204E-05
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
