Qdot545out,
Wavelength,Intensity
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0.002348768
481,0.002156009
482,0.001922152
483,0.001864026
484,0.001731736
485,0.001556177
486,0.00146523
487,0.001381137
488,0.001313582
489,0.001209068
490,0.00120311
491,0.001233264
492,0.001269029
493,0.001355223
494,0.001483215
495,0.001552217
496,0.001760638
497,0.002011492
498,0.00225624
499,0.002638664
500,0.003155825
501,0.003807387
502,0.004569762
503,0.005619241
504,0.007018285
505,0.008682185
506,0.010661013
507,0.013273148
508,0.016569299
509,0.020291271
510,0.025271305
511,0.030693524
512,0.037608709
513,0.045933858
514,0.05530163
515,0.065982043
516,0.079102418
517,0.09370994
518,0.110670994
519,0.129836913
520,0.151805902
521,0.175355164
522,0.202039963
523,0.230971044
524,0.26500372
525,0.301108549
526,0.339841183
527,0.382415343
528,0.430197233
529,0.478854052
530,0.531514286
531,0.581262422
532,0.634665373
533,0.684167498
534,0.738599313
535,0.785829443
536,0.831406465
537,0.870609306
538,0.907906275
539,0.940302453
540,0.967383953
541,0.986084622
542,0.997623761
543,1
544,0.997031532
545,0.987774583
546,0.971977706
547,0.953157765
548,0.925780054
549,0.895260476
550,0.858275354
551,0.818066496
552,0.773142434
553,0.732682491
554,0.684413408
555,0.639610614
556,0.591475339
557,0.547847093
558,0.502201949
559,0.460029524
560,0.418350586
561,0.380443372
562,0.344720373
563,0.311098461
564,0.276995518
565,0.249475713
566,0.221942294
567,0.197679567
568,0.175199123
569,0.156070667
570,0.13848803
571,0.122389694
572,0.107089534
573,0.094880642
574,0.083251118
575,0.073548449
576,0.063803731
577,0.056600056
578,0.049050183
579,0.042891518
580,0.037133776
581,0.032333436
582,0.028185582
583,0.024631201
584,0.021328279
585,0.018513317
586,0.016130033
587,0.014064015
588,0.012280029
589,0.010620805
590,0.009088291
591,0.007960505
592,0.006854165
593,0.006023179
594,0.005152282
595,0.004483534
596,0.003952491
597,0.003518659
598,0.003030361
599,0.002621615
600,0.002280378
601,0.001932335
602,0.001661974
603,0.001433759
604,0.001278375
605,0.001070134
606,0.000979795
607,0.000844968
608,0.000758313
609,0.000640071
610,0.000535401
611,0.000497951
612,0.000393105
613,0.000343432
614,0.000316278
615,0.000273321
616,0.000200106
617,0.000180344
618,0.000113025
619,9.71742E-05
620,3.13503E-05
621,0.00012209
622,3.64131E-05
623,5.11499E-05
624,2.54282E-05
625,3.08519E-05
626,-9.12668E-06
627,-2.03796E-05
628,1.00093E-05
629,3.70198E-05
630,3.90071E-05
631,3.33451E-05
632,3.45383E-05
633,3.16E-07
634,-6.47292E-05
635,-9.71841E-06
636,-6.49276E-05
637,6.78138E-06
638,1.44526E-05
639,-5.83567E-06
640,5.5708E-05
641,6.66699E-05
